activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value,pref_name
,O=C(O)[C@@H]1CSC(c2ccccc2)N1,CHEMBL154191,nM,21300.0,uM,21.3,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccccc2O)N1,CHEMBL1767337,nM,20200.0,uM,20.2,Neuraminidase
,O=C(O)c1ccccc1C1N[C@H](C(=O)O)CS1,CHEMBL1767338,nM,18100.0,uM,18.1,Neuraminidase
,N#Cc1ccc(C2N[C@H](C(=O)O)CS2)cc1,CHEMBL1767339,nM,23400.0,uM,23.4,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccccc2[N+](=O)[O-])N1,CHEMBL1767340,nM,22500.0,uM,22.5,Neuraminidase
,COc1cccc(C2N[C@H](C(=O)O)CS2)c1O,CHEMBL1767341,nM,12300.0,uM,12.3,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccco2)N1,CHEMBL1767342,nM,43100.0,uM,43.1,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccccc2)N1C(=O)CCl,CHEMBL1767343,nM,7530.0,uM,7.53,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccccc2O)N1C(=O)CCl,CHEMBL1767344,nM,5840.0,uM,5.84,Neuraminidase
,O=C(O)c1ccccc1C1SC[C@@H](C(=O)O)N1C(=O)CCl,CHEMBL1767345,nM,10700.0,uM,10.7,Neuraminidase
,N#Cc1ccc(C2SC[C@@H](C(=O)O)N2C(=O)CCl)cc1,CHEMBL1767346,nM,8640.0,uM,8.64,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccccc2[N+](=O)[O-])N1C(=O)CCl,CHEMBL1767347,nM,7650.0,uM,7.65,Neuraminidase
,COc1cccc(C2SC[C@@H](C(=O)O)N2C(=O)CCl)c1O,CHEMBL1767348,nM,7920.0,uM,7.92,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccco2)N1C(=O)CCl,CHEMBL1767349,nM,12900.0,uM,12.9,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccccc2)N1C(=O)Cc1ccccc1,CHEMBL1767350,nM,1210.0,uM,1.21,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccccc2O)N1C(=O)Cc1ccccc1,CHEMBL1767351,nM,650.0,uM,0.65,Neuraminidase
,O=C(O)c1ccccc1C1SC[C@@H](C(=O)O)N1C(=O)Cc1ccccc1,CHEMBL1767352,nM,1920.0,uM,1.92,Neuraminidase
,N#Cc1ccc(C2SC[C@@H](C(=O)O)N2C(=O)Cc2ccccc2)cc1,CHEMBL1767353,nM,2470.0,uM,2.47,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccccc2[N+](=O)[O-])N1C(=O)Cc1ccccc1,CHEMBL1767354,nM,1870.0,uM,1.87,Neuraminidase
,COc1cccc(C2SC[C@@H](C(=O)O)N2C(=O)Cc2ccccc2)c1O,CHEMBL1767355,nM,1620.0,uM,1.62,Neuraminidase
,O=C(O)[C@@H]1CSC(c2ccco2)N1C(=O)Cc1ccccc1,CHEMBL1767356,nM,2890.0,uM,2.89,Neuraminidase
,NCC(=O)N1C(c2ccccc2)SC[C@H]1C(=O)O,CHEMBL1767357,nM,530.0,uM,0.53,Neuraminidase
,NCC(=O)N1C(c2ccccc2O)SC[C@H]1C(=O)O,CHEMBL1765113,nM,210.0,uM,0.21,Neuraminidase
,NCC(=O)N1C(c2ccccc2C(=O)O)SC[C@H]1C(=O)O,CHEMBL1767358,nM,280.0,uM,0.28,Neuraminidase
,N#Cc1ccc(C2SC[C@@H](C(=O)O)N2C(=O)CN)cc1,CHEMBL1767359,nM,810.0,uM,0.81,Neuraminidase
,NCC(=O)N1C(c2ccccc2[N+](=O)[O-])SC[C@H]1C(=O)O,CHEMBL1767360,nM,1020.0,uM,1.02,Neuraminidase
,COc1cccc(C2SC[C@@H](C(=O)O)N2C(=O)CN)c1O,CHEMBL1767361,nM,140.0,uM,0.14,Neuraminidase
,NCC(=O)N1C(c2ccco2)SC[C@H]1C(=O)O,CHEMBL1767362,nM,980.0,uM,0.98,Neuraminidase
